
2024/11/25 (15:23:26) | ===> btop++ v.1.3.2
2024/11/25 (15:23:26) | ERROR: Stall in Runner thread, restarting!

2025/02/11 (19:55:28) | ===> btop++ v.1.4.0
2025/02/11 (19:55:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (20:36:51) | ===> btop++ v.1.4.0
2025/02/11 (20:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:38:34) | ===> btop++ v.1.4.0
2025/02/12 (19:38:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:48:04) | ===> btop++ v.1.4.0
2025/02/12 (19:48:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:54:34) | ===> btop++ v.1.4.0
2025/02/12 (19:54:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:58:37) | ===> btop++ v.1.4.0
2025/02/12 (19:58:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (12:52:12) | ===> btop++ v.1.4.0
2025/02/13 (12:52:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (15:05:36) | ===> btop++ v.1.4.0
2025/02/16 (15:05:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (15:05:48) | ===> btop++ v.1.4.0
2025/02/16 (15:05:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (13:16:33) | ===> btop++ v.1.4.0
2025/02/24 (13:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (09:24:31) | ===> btop++ v.1.4.0
2025/03/23 (09:24:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (17:23:48) | ===> btop++ v.1.4.0
2025/03/31 (17:23:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (13:28:53) | ===> btop++ v.1.4.0
2025/04/02 (13:28:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (09:37:19) | ===> btop++ v.1.4.0
2025/04/05 (09:37:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (10:15:16) | ===> btop++ v.1.4.0
2025/04/05 (10:15:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (10:19:07) | ===> btop++ v.1.4.0
2025/04/05 (10:19:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (10:31:48) | ===> btop++ v.1.4.0
2025/04/05 (10:31:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:05:58) | ===> btop++ v.1.4.0
2025/04/16 (17:05:58) | WARNING: Intel GPU: Failed to initialize PMU

